combo_id,fold,val_auc,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
49,3,0.5566,64,128,2,0.1,0.5,0.005,0.0001,600,64,0.1,0
49,4,0.6373,64,128,2,0.1,0.5,0.005,0.0001,600,64,0.1,0
50,0,0.5976,128,128,6,0.1,0.1,0.001,0.0001,300,64,0.1,0
50,1,0.6204,128,128,6,0.1,0.1,0.001,0.0001,300,64,0.1,0
50,2,0.5116,128,128,6,0.1,0.1,0.001,0.0001,300,64,0.1,0
50,3,0.705,128,128,6,0.1,0.1,0.001,0.0001,300,64,0.1,0
50,4,0.6322,128,128,6,0.1,0.1,0.001,0.0001,300,64,0.1,0
51,0,0.5355,64,64,4,0.5,0.1,0.005,0.0001,500,128,0.1,10
51,1,0.5303,64,64,4,0.5,0.1,0.005,0.0001,500,128,0.1,10
51,2,0.6975,64,64,4,0.5,0.1,0.005,0.0001,500,128,0.1,10
51,3,0.6141,64,64,4,0.5,0.1,0.005,0.0001,500,128,0.1,10
51,4,0.5551,64,64,4,0.5,0.1,0.005,0.0001,500,128,0.1,10
52,0,0.5875,128,64,1,0.1,0.5,0.001,0.0001,300,64,0.1,10
52,1,0.5175,128,64,1,0.1,0.5,0.001,0.0001,300,64,0.1,10
52,2,0.5217,128,64,1,0.1,0.5,0.001,0.0001,300,64,0.1,10
52,3,0.5355,128,64,1,0.1,0.5,0.001,0.0001,300,64,0.1,10
52,4,0.6714,128,64,1,0.1,0.5,0.001,0.0001,300,64,0.1,10
53,0,0.5507,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.0,10
53,1,0.5542,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.0,10
53,2,0.6597,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.0,10
53,3,0.6732,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.0,10
53,4,0.5259,128,128,4,0.1,0.5,0.001,0.0001,500,128,0.0,10
54,0,0.5781,64,128,5,0.1,0.1,0.001,0.0001,400,32,0.1,0
54,1,0.597,64,128,5,0.1,0.1,0.001,0.0001,400,32,0.1,0
54,2,0.6386,64,128,5,0.1,0.1,0.001,0.0001,400,32,0.1,0
54,3,0.6173,64,128,5,0.1,0.1,0.001,0.0001,400,32,0.1,0
54,4,0.561,64,128,5,0.1,0.1,0.001,0.0001,400,32,0.1,0
55,0,0.6884,64,128,6,0.5,0.5,0.001,0.0001,400,32,0.0,0
55,1,0.4747,64,128,6,0.5,0.5,0.001,0.0001,400,32,0.0,0
55,2,0.5978,64,128,6,0.5,0.5,0.001,0.0001,400,32,0.0,0
55,3,0.569,64,128,6,0.5,0.5,0.001,0.0001,400,32,0.0,0
55,4,0.6524,64,128,6,0.5,0.5,0.001,0.0001,400,32,0.0,0
