combo_id,fold,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@50,val_ndcg@50,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
12,1,0.332,0.2334,0.4558,0.2751,0.6367,0.3237,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,2,0.3226,0.2259,0.4455,0.2668,0.6299,0.3159,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,3,0.3406,0.2405,0.4646,0.2822,0.6465,0.3311,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
12,4,0.3358,0.237,0.4585,0.2784,0.6482,0.3284,128,128,6,0.1,0.1,0.005,0.0001,200,64,0.1,10,10,5,0.0001
13,0,0.2228,0.1575,0.3111,0.1867,0.4484,0.2228,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,1,0.2363,0.168,0.3321,0.1999,0.4736,0.2377,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,2,0.2151,0.156,0.2965,0.1832,0.4335,0.2196,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,3,0.2268,0.1643,0.3087,0.1921,0.4459,0.2282,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
13,4,0.2209,0.1593,0.295,0.1842,0.433,0.221,32,32,6,0.1,0.5,0.001,0.0001,400,32,0.0,10,20,10,0.0001
14,0,0.2329,0.1667,0.3145,0.1938,0.4569,0.2313,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
14,1,0.2394,0.1689,0.3276,0.1985,0.474,0.2373,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
14,2,0.2285,0.1651,0.3076,0.1916,0.451,0.2296,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
14,3,0.2372,0.1707,0.3251,0.1998,0.4723,0.2388,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
14,4,0.2183,0.1596,0.2999,0.1868,0.4476,0.2261,64,64,3,0.5,0.1,0.001,0.0001,600,64,0.1,10,50,5,0.001
15,0,0.2923,0.2002,0.4007,0.2364,0.5789,0.2831,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
15,1,0.3016,0.2173,0.4117,0.2544,0.5925,0.3022,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
15,2,0.2935,0.2099,0.4078,0.2482,0.5875,0.296,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
15,3,0.2918,0.2064,0.3977,0.2418,0.5705,0.2881,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
15,4,0.2767,0.1962,0.3807,0.2311,0.549,0.2759,32,64,1,0.1,0.1,0.005,0.0001,300,32,0.0,0,50,5,0.0001
16,0,0.195,0.1402,0.2631,0.162,0.3898,0.1945,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
16,1,0.195,0.1391,0.2799,0.1672,0.4186,0.204,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
16,2,0.2091,0.1517,0.2948,0.1799,0.4297,0.2155,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
16,3,0.2107,0.1557,0.2927,0.183,0.4338,0.2203,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
16,4,0.207,0.1508,0.2814,0.1754,0.4163,0.2108,32,32,3,0.5,0.5,0.001,0.0001,700,128,0.1,10,20,5,0.001
17,0,0.1182,0.0751,0.1917,0.0981,0.3155,0.1301,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
17,1,0.1538,0.1058,0.2109,0.1247,0.3369,0.1573,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
17,2,0.1317,0.0818,0.1924,0.1013,0.3044,0.1298,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
17,3,0.1187,0.0723,0.1695,0.0887,0.2802,0.1169,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
17,4,0.1405,0.0895,0.2013,0.1087,0.3049,0.1356,32,32,1,0.5,0.1,0.001,0.0001,300,128,0.0,10,50,10,0.0001
18,0,0.2481,0.1759,0.3362,0.205,0.4918,0.2466,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
18,1,0.2385,0.1705,0.3281,0.2002,0.4764,0.2397,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
18,2,0.2199,0.1611,0.3075,0.1901,0.4625,0.2313,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
18,3,0.2683,0.1949,0.3696,0.2283,0.5251,0.2698,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
18,4,0.2307,0.1688,0.3176,0.1975,0.4678,0.2374,32,128,5,0.5,0.5,0.005,0.0001,400,64,0.1,0,10,10,0.0001
19,0,0.3429,0.2447,0.4718,0.2872,0.6534,0.3356,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
19,1,0.3358,0.2408,0.4571,0.2817,0.6429,0.3314,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
19,2,0.3284,0.2347,0.4514,0.276,0.6344,0.3245,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
19,3,0.3342,0.2401,0.4593,0.2821,0.6394,0.3306,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
19,4,0.3344,0.2404,0.4612,0.2831,0.6552,0.3347,128,32,5,0.5,0.5,0.005,0.0001,500,128,0.1,10,10,10,0.001
20,0,0.2936,0.2074,0.3965,0.2416,0.5629,0.2855,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
20,1,0.2996,0.2131,0.4094,0.2501,0.5802,0.2954,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
20,2,0.2864,0.2037,0.3933,0.2394,0.5712,0.2867,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
20,3,0.2963,0.2111,0.3989,0.2454,0.5585,0.2881,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
20,4,0.2757,0.1964,0.3755,0.2297,0.5506,0.276,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
21,0,0.188,0.135,0.2716,0.1617,0.3914,0.1932,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
21,1,0.2124,0.1504,0.2877,0.1757,0.4325,0.214,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
21,2,0.2053,0.1456,0.289,0.1734,0.4295,0.2105,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
21,3,0.2208,0.1577,0.3012,0.1844,0.444,0.2222,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
21,4,0.2152,0.1551,0.2915,0.1803,0.4298,0.2169,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
22,0,0.3337,0.2338,0.4619,0.2762,0.6462,0.325,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
22,1,0.3278,0.2327,0.4519,0.2742,0.6312,0.3226,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
22,2,0.3331,0.2361,0.4567,0.2773,0.6464,0.3283,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
22,3,0.3377,0.2396,0.461,0.2807,0.6431,0.3294,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
22,4,0.3166,0.2229,0.4348,0.2626,0.6215,0.3119,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
23,0,0.331,0.2331,0.4566,0.2746,0.6472,0.325,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
23,1,0.3282,0.2355,0.4562,0.2786,0.6386,0.3269,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
23,2,0.3157,0.2233,0.4358,0.2638,0.6152,0.3118,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
23,3,0.3316,0.2366,0.4568,0.2785,0.6328,0.3254,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
23,4,0.3333,0.2366,0.4613,0.2795,0.6475,0.329,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
24,0,0.2541,0.1813,0.356,0.2151,0.5024,0.2541,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
24,1,0.282,0.2013,0.3835,0.2353,0.5438,0.2783,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
24,2,0.2499,0.1799,0.343,0.2109,0.5044,0.2534,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
24,3,0.2537,0.1841,0.3503,0.2162,0.4913,0.2539,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
24,4,0.2802,0.2037,0.381,0.2372,0.5449,0.281,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
25,0,0.2704,0.1977,0.3657,0.2298,0.5386,0.2755,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
25,1,0.2606,0.1851,0.3594,0.218,0.5133,0.2592,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
25,2,0.251,0.1838,0.3443,0.2147,0.5062,0.2578,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
25,3,0.2467,0.1804,0.3451,0.213,0.5059,0.2554,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
25,4,0.2476,0.1797,0.3373,0.2096,0.4906,0.2506,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
26,0,0.368,0.2592,0.507,0.3052,0.6968,0.356,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
26,1,0.3602,0.2575,0.4916,0.3017,0.6786,0.352,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
26,2,0.3527,0.2512,0.4841,0.2953,0.6794,0.3473,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
26,3,0.3651,0.2602,0.503,0.3061,0.68,0.3539,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
26,4,0.3498,0.248,0.4808,0.2922,0.6698,0.3429,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
27,0,0.2729,0.1937,0.3786,0.2288,0.5376,0.2709,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
