combo_id,fold,val_auc,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
36,0,0.7788,128,4,0.3,0.3,0.005,0.001,700,64,0.0,0
36,1,0.8372,128,4,0.3,0.3,0.005,0.001,700,64,0.0,0
36,2,0.8078,128,4,0.3,0.3,0.005,0.001,700,64,0.0,0
36,3,0.7625,128,4,0.3,0.3,0.005,0.001,700,64,0.0,0
36,4,0.7836,128,4,0.3,0.3,0.005,0.001,700,64,0.0,0
37,0,0.7821,64,2,0.3,0.5,0.001,0.0001,300,64,0.1,10
37,1,0.8017,64,2,0.3,0.5,0.001,0.0001,300,64,0.1,10
37,2,0.7647,64,2,0.3,0.5,0.001,0.0001,300,64,0.1,10
37,3,0.819,64,2,0.3,0.5,0.001,0.0001,300,64,0.1,10
37,4,0.7862,64,2,0.3,0.5,0.001,0.0001,300,64,0.1,10
38,0,0.7564,256,2,0.3,0.5,0.001,0.0001,300,128,0.1,0
38,1,0.7941,256,2,0.3,0.5,0.001,0.0001,300,128,0.1,0
38,2,0.8302,256,2,0.3,0.5,0.001,0.0001,300,128,0.1,0
38,3,0.7911,256,2,0.3,0.5,0.001,0.0001,300,128,0.1,0
38,4,0.8133,256,2,0.3,0.5,0.001,0.0001,300,128,0.1,0
39,0,0.7542,256,1,0.3,0.5,0.005,0.0001,700,64,0.1,0
39,1,0.7456,256,1,0.3,0.5,0.005,0.0001,700,64,0.1,0
39,2,0.7418,256,1,0.3,0.5,0.005,0.0001,700,64,0.1,0
39,3,0.7674,256,1,0.3,0.5,0.005,0.0001,700,64,0.1,0
39,4,0.8202,256,1,0.3,0.5,0.005,0.0001,700,64,0.1,0
40,0,0.7438,256,1,0.5,0.7,0.005,0.0001,700,128,0.1,0
40,1,0.7476,256,1,0.5,0.7,0.005,0.0001,700,128,0.1,0
40,2,0.7565,256,1,0.5,0.7,0.005,0.0001,700,128,0.1,0
40,3,0.7435,256,1,0.5,0.7,0.005,0.0001,700,128,0.1,0
40,4,0.7318,256,1,0.5,0.7,0.005,0.0001,700,128,0.1,0
41,0,0.7393,64,4,0.5,0.5,0.005,0.0001,700,64,0.1,10
41,1,0.7656,64,4,0.5,0.5,0.005,0.0001,700,64,0.1,10
41,2,0.7961,64,4,0.5,0.5,0.005,0.0001,700,64,0.1,10
41,3,0.7755,64,4,0.5,0.5,0.005,0.0001,700,64,0.1,10
41,4,0.7639,64,4,0.5,0.5,0.005,0.0001,700,64,0.1,10
42,0,0.7581,64,3,0.5,0.3,0.005,0.0001,500,64,0.0,10
42,1,0.7839,64,3,0.5,0.3,0.005,0.0001,500,64,0.0,10
42,2,0.7744,64,3,0.5,0.3,0.005,0.0001,500,64,0.0,10
42,3,0.7588,64,3,0.5,0.3,0.005,0.0001,500,64,0.0,10
42,4,0.7726,64,3,0.5,0.3,0.005,0.0001,500,64,0.0,10
43,0,0.8177,128,4,0.3,0.5,0.005,0.0001,700,64,0.0,10
43,1,0.8375,128,4,0.3,0.5,0.005,0.0001,700,64,0.0,10
43,2,0.7948,128,4,0.3,0.5,0.005,0.0001,700,64,0.0,10
43,3,0.7761,128,4,0.3,0.5,0.005,0.0001,700,64,0.0,10
43,4,0.8246,128,4,0.3,0.5,0.005,0.0001,700,64,0.0,10
44,0,0.7562,128,2,0.5,0.7,0.005,0.001,100,128,0.1,0
44,1,0.7652,128,2,0.5,0.7,0.005,0.001,100,128,0.1,0
44,2,0.8115,128,2,0.5,0.7,0.005,0.001,100,128,0.1,0
44,3,0.7384,128,2,0.5,0.7,0.005,0.001,100,128,0.1,0
44,4,0.7546,128,2,0.5,0.7,0.005,0.001,100,128,0.1,0
45,0,0.7987,256,1,0.3,0.5,0.001,0.0001,100,128,0.1,0
45,1,0.811,256,1,0.3,0.5,0.001,0.0001,100,128,0.1,0
45,2,0.8345,256,1,0.3,0.5,0.001,0.0001,100,128,0.1,0
45,3,0.7871,256,1,0.3,0.5,0.001,0.0001,100,128,0.1,0
45,4,0.8345,256,1,0.3,0.5,0.001,0.0001,100,128,0.1,0
46,0,0.8095,64,3,0.3,0.5,0.001,0.001,500,64,0.0,0
46,1,0.842,64,3,0.3,0.5,0.001,0.001,500,64,0.0,0
46,2,0.7262,64,3,0.3,0.5,0.001,0.001,500,64,0.0,0
46,3,0.7793,64,3,0.3,0.5,0.001,0.001,500,64,0.0,0
