combo_id,fold,val_auc,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
33,1,0.8607,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
33,2,0.8133,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
33,3,0.8446,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
33,4,0.8834,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
34,0,0.7078,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
34,1,0.8586,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
34,2,0.8214,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
34,3,0.6279,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
34,4,0.5225,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
35,0,0.8847,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
35,1,0.8879,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
35,2,0.8618,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
35,3,0.8892,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
35,4,0.9032,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
36,0,0.8153,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
36,1,0.7767,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
36,2,0.6656,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
36,3,0.7745,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
36,4,0.8518,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
37,0,0.9098,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
37,1,0.9053,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
37,2,0.905,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
37,3,0.9211,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
37,4,0.843,128,64,5,0.1,0.1,0.005,0.0001,200,64,0.1,0
38,0,0.6246,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
38,1,0.8412,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
38,2,0.8243,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
38,3,0.7615,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
38,4,0.638,64,32,5,0.5,0.1,0.005,0.0001,500,64,0.0,10
39,0,0.9052,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
39,1,0.9131,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
39,2,0.9039,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
39,3,0.9023,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
39,4,0.8951,128,64,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
40,0,0.881,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
40,1,0.8622,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
40,2,0.8343,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
40,3,0.82,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
40,4,0.8476,128,128,5,0.5,0.5,0.001,0.0001,200,128,0.0,10
41,0,0.8551,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
41,1,0.8698,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
41,2,0.9064,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
41,3,0.7784,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
41,4,0.8685,128,128,5,0.5,0.1,0.001,0.0001,700,64,0.1,10
42,0,0.884,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
42,1,0.8953,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
42,2,0.9095,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
42,3,0.8716,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
42,4,0.8997,64,128,3,0.1,0.1,0.001,0.0001,600,128,0.0,10
43,0,0.5993,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
43,1,0.648,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
43,2,0.8434,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
43,3,0.636,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
43,4,0.7737,32,64,4,0.5,0.5,0.001,0.0001,500,32,0.1,0
44,0,0.9102,128,128,3,0.1,0.5,0.005,0.0001,700,128,0.0,10
44,1,0.8745,128,128,3,0.1,0.5,0.005,0.0001,700,128,0.0,10
44,2,0.878,128,128,3,0.1,0.5,0.005,0.0001,700,128,0.0,10
44,3,0.8947,128,128,3,0.1,0.5,0.005,0.0001,700,128,0.0,10
44,4,0.8433,128,128,3,0.1,0.5,0.005,0.0001,700,128,0.0,10
45,0,0.8622,32,64,2,0.1,0.1,0.005,0.0001,300,128,0.0,0
45,1,0.8963,32,64,2,0.1,0.1,0.005,0.0001,300,128,0.0,0
45,2,0.8713,32,64,2,0.1,0.1,0.005,0.0001,300,128,0.0,0
45,3,0.8763,32,64,2,0.1,0.1,0.005,0.0001,300,128,0.0,0
45,4,0.8334,32,64,2,0.1,0.1,0.005,0.0001,300,128,0.0,0
46,0,0.9083,128,32,5,0.1,0.5,0.001,0.0001,300,128,0.0,10
46,1,0.8942,128,32,5,0.1,0.5,0.001,0.0001,300,128,0.0,10
46,2,0.9314,128,32,5,0.1,0.5,0.001,0.0001,300,128,0.0,10
46,3,0.9342,128,32,5,0.1,0.5,0.001,0.0001,300,128,0.0,10
46,4,0.9076,128,32,5,0.1,0.5,0.001,0.0001,300,128,0.0,10
47,0,0.8535,64,32,4,0.5,0.5,0.001,0.0001,400,64,0.0,10
47,1,0.8814,64,32,4,0.5,0.5,0.001,0.0001,400,64,0.0,10
47,2,0.7784,64,32,4,0.5,0.5,0.001,0.0001,400,64,0.0,10
47,3,0.7749,64,32,4,0.5,0.5,0.001,0.0001,400,64,0.0,10
47,4,0.7128,64,32,4,0.5,0.5,0.001,0.0001,400,64,0.0,10
48,0,0.876,64,64,1,0.1,0.5,0.005,0.0001,200,64,0.1,10
48,1,0.863,64,64,1,0.1,0.5,0.005,0.0001,200,64,0.1,10
48,2,0.8724,64,64,1,0.1,0.5,0.005,0.0001,200,64,0.1,10
48,3,0.871,64,64,1,0.1,0.5,0.005,0.0001,200,64,0.1,10
48,4,0.8716,64,64,1,0.1,0.5,0.005,0.0001,200,64,0.1,10
49,0,0.8945,64,128,2,0.1,0.5,0.005,0.0001,600,64,0.1,0
