combo_id,fold,val_nmi,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_cl_loss,hp_cl_temp
42,0,0.0893,128,3,0.3,0.001,0.0001,300,64,contrastive,0.5
42,1,0.0671,128,3,0.3,0.001,0.0001,300,64,contrastive,0.5
42,2,0.1055,128,3,0.3,0.001,0.0001,300,64,contrastive,0.5
42,3,0.207,128,3,0.3,0.001,0.0001,300,64,contrastive,0.5
42,4,0.1421,128,3,0.3,0.001,0.0001,300,64,contrastive,0.5
43,0,0.026,256,2,0.3,0.005,0.0001,100,128,contrastive,0.5
43,1,0.0679,256,2,0.3,0.005,0.0001,100,128,contrastive,0.5
43,2,0.2281,256,2,0.3,0.005,0.0001,100,128,contrastive,0.5
43,3,0.0836,256,2,0.3,0.005,0.0001,100,128,contrastive,0.5
43,4,0.0917,256,2,0.3,0.005,0.0001,100,128,contrastive,0.5
44,0,0.0942,64,5,0.3,0.005,0.0001,700,128,contrastive,0.5
44,1,0.0151,64,5,0.3,0.005,0.0001,700,128,contrastive,0.5
44,2,0.0462,64,5,0.3,0.005,0.0001,700,128,contrastive,0.5
44,3,0.0937,64,5,0.3,0.005,0.0001,700,128,contrastive,0.5
44,4,0.0883,64,5,0.3,0.005,0.0001,700,128,contrastive,0.5
45,0,0.0473,256,6,0.3,0.005,0.001,700,64,contrastive,0.5
45,1,0.0112,256,6,0.3,0.005,0.001,700,64,contrastive,0.5
45,2,0.1433,256,6,0.3,0.005,0.001,700,64,contrastive,0.5
45,3,0.0723,256,6,0.3,0.005,0.001,700,64,contrastive,0.5
45,4,0.0769,256,6,0.3,0.005,0.001,700,64,contrastive,0.5
46,0,0.0975,128,4,0.5,0.001,0.0001,300,128,reconstruction,0.1
46,1,0.1208,128,4,0.5,0.001,0.0001,300,128,reconstruction,0.1
46,2,0.1603,128,4,0.5,0.001,0.0001,300,128,reconstruction,0.1
46,3,0.127,128,4,0.5,0.001,0.0001,300,128,reconstruction,0.1
46,4,0.1978,128,4,0.5,0.001,0.0001,300,128,reconstruction,0.1
47,0,0.1269,128,6,0.5,0.005,0.0001,300,64,reconstruction,0.1
47,1,0.0136,128,6,0.5,0.005,0.0001,300,64,reconstruction,0.1
47,2,0.1381,128,6,0.5,0.005,0.0001,300,64,reconstruction,0.1
47,3,0.0511,128,6,0.5,0.005,0.0001,300,64,reconstruction,0.1
47,4,0.0646,128,6,0.5,0.005,0.0001,300,64,reconstruction,0.1
48,0,0.0914,64,6,0.3,0.001,0.0001,300,128,reconstruction,0.5
48,1,0.0131,64,6,0.3,0.001,0.0001,300,128,reconstruction,0.5
48,2,0.0752,64,6,0.3,0.001,0.0001,300,128,reconstruction,0.5
48,3,0.0488,64,6,0.3,0.001,0.0001,300,128,reconstruction,0.5
48,4,0.0516,64,6,0.3,0.001,0.0001,300,128,reconstruction,0.5
49,0,0.0753,256,3,0.3,0.005,0.001,700,64,contrastive,0.1
49,1,0.1576,256,3,0.3,0.005,0.001,700,64,contrastive,0.1
49,2,0.1464,256,3,0.3,0.005,0.001,700,64,contrastive,0.1
49,3,0.0868,256,3,0.3,0.005,0.001,700,64,contrastive,0.1
49,4,0.054,256,3,0.3,0.005,0.001,700,64,contrastive,0.1
50,0,0.0948,128,4,0.5,0.001,0.001,300,128,contrastive,0.5
50,1,0.066,128,4,0.5,0.001,0.001,300,128,contrastive,0.5
50,2,0.0897,128,4,0.5,0.001,0.001,300,128,contrastive,0.5
50,3,0.1133,128,4,0.5,0.001,0.001,300,128,contrastive,0.5
50,4,0.1606,128,4,0.5,0.001,0.001,300,128,contrastive,0.5
51,0,0.1915,256,5,0.5,0.005,0.0001,700,128,contrastive,0.1
51,1,0.0939,256,5,0.5,0.005,0.0001,700,128,contrastive,0.1
51,2,0.1301,256,5,0.5,0.005,0.0001,700,128,contrastive,0.1
51,3,0.2102,256,5,0.5,0.005,0.0001,700,128,contrastive,0.1
51,4,0.1024,256,5,0.5,0.005,0.0001,700,128,contrastive,0.1
52,0,0.0624,64,3,0.3,0.001,0.001,500,64,reconstruction,0.1
52,1,0.0782,64,3,0.3,0.001,0.001,500,64,reconstruction,0.1
52,2,0.0565,64,3,0.3,0.001,0.001,500,64,reconstruction,0.1
52,3,0.0093,64,3,0.3,0.001,0.001,500,64,reconstruction,0.1
52,4,0.031,64,3,0.3,0.001,0.001,500,64,reconstruction,0.1
53,0,0.1586,64,6,0.5,0.001,0.001,300,128,reconstruction,0.5
53,1,0.05,64,6,0.5,0.001,0.001,300,128,reconstruction,0.5
53,2,0.1696,64,6,0.5,0.001,0.001,300,128,reconstruction,0.5
53,3,0.0291,64,6,0.5,0.001,0.001,300,128,reconstruction,0.5
53,4,0.0067,64,6,0.5,0.001,0.001,300,128,reconstruction,0.5
54,0,0.0054,128,2,0.3,0.001,0.0001,300,64,contrastive,0.1
54,1,0.0968,128,2,0.3,0.001,0.0001,300,64,contrastive,0.1
54,2,0.0962,128,2,0.3,0.001,0.0001,300,64,contrastive,0.1
54,3,0.0385,128,2,0.3,0.001,0.0001,300,64,contrastive,0.1
54,4,0.0823,128,2,0.3,0.001,0.0001,300,64,contrastive,0.1
55,0,0.0247,128,2,0.5,0.001,0.0001,100,64,contrastive,0.5
55,1,0.0209,128,2,0.5,0.001,0.0001,100,64,contrastive,0.5
55,2,0.1018,128,2,0.5,0.001,0.0001,100,64,contrastive,0.5
55,3,0.0922,128,2,0.5,0.001,0.0001,100,64,contrastive,0.5
55,4,0.1323,128,2,0.5,0.001,0.0001,100,64,contrastive,0.5
56,0,0.03,64,5,0.5,0.001,0.001,100,128,contrastive,0.1
56,1,0.1159,64,5,0.5,0.001,0.001,100,128,contrastive,0.1
56,2,0.0387,64,5,0.5,0.001,0.001,100,128,contrastive,0.1
56,3,0.0402,64,5,0.5,0.001,0.001,100,128,contrastive,0.1
56,4,0.017,64,5,0.5,0.001,0.001,100,128,contrastive,0.1
57,0,0.0864,256,5,0.3,0.001,0.001,700,64,contrastive,0.5
57,1,0.0501,256,5,0.3,0.001,0.001,700,64,contrastive,0.5
57,2,0.0422,256,5,0.3,0.001,0.001,700,64,contrastive,0.5
57,3,0.1195,256,5,0.3,0.001,0.001,700,64,contrastive,0.5
57,4,0.1498,256,5,0.3,0.001,0.001,700,64,contrastive,0.5
58,0,0.1112,64,4,0.5,0.005,0.0001,300,128,contrastive,0.1
58,1,0.0252,64,4,0.5,0.005,0.0001,300,128,contrastive,0.1
58,2,0.0491,64,4,0.5,0.005,0.0001,300,128,contrastive,0.1
58,3,0.0202,64,4,0.5,0.005,0.0001,300,128,contrastive,0.1
58,4,0.0485,64,4,0.5,0.005,0.0001,300,128,contrastive,0.1
59,0,0.0444,64,4,0.3,0.005,0.0001,700,64,contrastive,0.1
59,1,0.0904,64,4,0.3,0.005,0.0001,700,64,contrastive,0.1
