combo_id,fold,val_f1,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
17,0,0.4079,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,1,0.6617,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,2,0.6134,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,3,0.5365,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
17,4,0.6507,32,64,4,0.1,0.5,0.001,0.0001,1000,32,0.0,0
18,0,0.4802,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,1,0.3978,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,2,0.6268,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,3,0.5088,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,4,0.5402,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
19,0,0.6865,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,1,0.6234,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,2,0.5934,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,3,0.6391,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,4,0.6363,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
20,0,0.495,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,1,0.6394,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,2,0.6101,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,3,0.5483,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,4,0.5379,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
21,0,0.6837,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,1,0.6892,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,2,0.6251,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,3,0.6533,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,4,0.6114,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
22,0,0.2949,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,1,0.4438,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,2,0.5761,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,3,0.3702,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,4,0.6511,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
23,0,0.6467,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,1,0.6778,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,2,0.6594,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,3,0.6889,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,4,0.6016,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
24,0,0.3249,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,1,0.6059,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,2,0.6227,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,3,0.5901,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,4,0.2158,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
25,0,0.4845,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,1,0.6268,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,2,0.6661,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,3,0.4645,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,4,0.6214,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
26,0,0.7043,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,1,0.7101,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,2,0.7055,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,3,0.739,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,4,0.7115,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
27,0,0.1481,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,1,0.5117,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,2,0.1542,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,3,0.6858,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,4,0.5393,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
