combo_id,fold,val_auc,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
18,3,0.5082,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
18,4,0.808,32,128,4,0.5,0.5,0.001,0.0001,500,128,0.0,0
19,0,0.846,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,1,0.7621,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,2,0.6968,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,3,0.7804,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
19,4,0.8177,128,32,5,0.5,0.1,0.001,0.0001,300,128,0.1,10
20,0,0.6754,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,1,0.6553,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,2,0.8017,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,3,0.7178,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
20,4,0.7745,64,64,3,0.5,0.1,0.005,0.0001,700,128,0.1,0
21,0,0.7411,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,1,0.6304,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,2,0.7189,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,3,0.6989,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
21,4,0.7481,128,32,5,0.5,0.1,0.005,0.0001,200,128,0.0,10
22,0,0.7822,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,1,0.8453,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,2,0.8373,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,3,0.7525,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
22,4,0.7051,32,32,1,0.1,0.1,0.001,0.0001,300,64,0.0,0
23,0,0.8514,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,1,0.8809,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,2,0.7784,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,3,0.8668,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
23,4,0.8861,64,64,1,0.1,0.5,0.005,0.0001,300,128,0.0,10
24,0,0.748,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,1,0.5602,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,2,0.7769,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,3,0.7086,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
24,4,0.8574,32,32,1,0.5,0.1,0.001,0.0001,300,32,0.1,10
25,0,0.8047,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,1,0.8398,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,2,0.8674,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,3,0.8594,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
25,4,0.869,64,64,3,0.1,0.1,0.001,0.0001,500,64,0.1,10
26,0,0.8866,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,1,0.896,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,2,0.8385,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,3,0.881,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
26,4,0.859,64,32,6,0.1,0.1,0.005,0.0001,600,64,0.0,10
27,0,0.8412,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,1,0.9084,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,2,0.8585,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,3,0.801,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
27,4,0.8343,32,32,2,0.1,0.5,0.001,0.0001,700,64,0.1,10
28,0,0.7092,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,1,0.4897,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,2,0.7055,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,3,0.6089,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,4,0.7861,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
29,0,0.8705,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,1,0.824,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,2,0.7645,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,3,0.9098,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,4,0.8725,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
30,0,0.8495,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,1,0.7987,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,2,0.8977,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,3,0.8807,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,4,0.8382,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
31,0,0.866,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,1,0.887,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,2,0.8713,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,3,0.8728,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,4,0.8929,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
32,0,0.8539,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
32,1,0.8736,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
