combo_id,fold,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@50,val_ndcg@50,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
20,4,0.1327,0.1419,0.1962,0.1706,0.3096,0.2155,128,32,4,0.5,0.5,0.001,0.0001,500,128,0.0,0,20,5,0.0001
21,0,0.103,0.1108,0.1515,0.1329,0.24,0.1678,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
21,1,0.099,0.1039,0.1498,0.1264,0.238,0.1609,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
21,2,0.109,0.1185,0.1586,0.1404,0.2515,0.1769,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
21,3,0.1039,0.1097,0.1561,0.133,0.2464,0.1688,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
21,4,0.1045,0.112,0.1529,0.1339,0.2387,0.1679,64,32,5,0.5,0.5,0.001,0.0001,300,64,0.0,10,20,5,0.001
22,0,0.1433,0.1512,0.2098,0.1815,0.3316,0.2297,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
22,1,0.1414,0.147,0.2089,0.1773,0.328,0.2243,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
22,2,0.1358,0.1443,0.2013,0.1736,0.3183,0.2198,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
22,3,0.1425,0.1491,0.2154,0.1822,0.3325,0.2284,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
22,4,0.1381,0.1467,0.2,0.1744,0.3148,0.2199,128,128,4,0.1,0.1,0.005,0.0001,200,128,0.0,0,10,10,0.001
23,0,0.137,0.1443,0.1999,0.1728,0.316,0.2186,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
23,1,0.1298,0.1371,0.1967,0.1667,0.3096,0.2113,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
23,2,0.1307,0.138,0.1941,0.1661,0.3075,0.2109,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
23,3,0.1367,0.143,0.2018,0.1721,0.3189,0.2181,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
23,4,0.1312,0.1371,0.1943,0.1661,0.3032,0.2093,32,128,1,0.1,0.5,0.005,0.0001,600,64,0.0,0,20,10,0.0001
24,0,0.1264,0.1349,0.1864,0.1622,0.2907,0.2036,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
24,1,0.1239,0.1297,0.1849,0.1568,0.2928,0.1988,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
24,2,0.1148,0.1226,0.1703,0.147,0.2708,0.1868,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
24,3,0.1124,0.1169,0.1671,0.1417,0.2619,0.1791,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
24,4,0.1247,0.1337,0.1853,0.1612,0.2917,0.203,32,64,6,0.1,0.1,0.005,0.0001,200,32,0.1,10,20,5,0.001
25,0,0.0992,0.1077,0.1464,0.1289,0.2324,0.163,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
25,1,0.1035,0.1094,0.1566,0.1329,0.2566,0.1717,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
25,2,0.1047,0.1139,0.1566,0.1368,0.2525,0.1742,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
25,3,0.1066,0.1134,0.1626,0.1386,0.2651,0.1788,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
25,4,0.1105,0.1188,0.1595,0.1407,0.2553,0.1784,32,128,3,0.5,0.1,0.005,0.0001,1000,64,0.1,0,10,5,0.001
26,0,0.1274,0.1363,0.1933,0.1662,0.2966,0.2071,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
26,1,0.1244,0.1294,0.1882,0.1575,0.2997,0.2009,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
26,2,0.1238,0.1332,0.1838,0.1601,0.2911,0.2023,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
26,3,0.1359,0.1415,0.2068,0.1738,0.3223,0.2194,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
26,4,0.1254,0.1344,0.1836,0.1606,0.2921,0.2036,128,32,4,0.5,0.1,0.005,0.0001,1000,128,0.0,10,50,10,0.0001
27,0,0.1286,0.1364,0.1877,0.1633,0.2947,0.2053,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
27,1,0.1225,0.1272,0.1824,0.1538,0.2909,0.1963,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
27,2,0.1245,0.133,0.1843,0.1596,0.292,0.2022,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
27,3,0.125,0.1315,0.1864,0.1592,0.2947,0.2019,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
27,4,0.1241,0.1325,0.1806,0.1581,0.2874,0.2004,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
28,0,0.1108,0.1204,0.1669,0.1457,0.2621,0.1835,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
28,1,0.1074,0.1138,0.1639,0.1387,0.2635,0.1779,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
28,2,0.1093,0.1175,0.1635,0.1415,0.2597,0.1795,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
28,3,0.1117,0.1196,0.1708,0.1459,0.2738,0.1864,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
28,4,0.1129,0.1208,0.1623,0.1429,0.2617,0.1821,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
29,0,0.1247,0.132,0.1891,0.1613,0.2975,0.2043,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
29,1,0.1253,0.131,0.1885,0.1592,0.2997,0.2029,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
29,2,0.1241,0.1317,0.1857,0.1592,0.2933,0.2016,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
29,3,0.1244,0.1305,0.1849,0.1575,0.2919,0.1997,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
29,4,0.1278,0.1352,0.1875,0.1621,0.3001,0.2062,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
30,0,0.1215,0.1304,0.1784,0.1562,0.285,0.1983,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
30,1,0.12,0.1251,0.183,0.1531,0.2923,0.1955,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
30,2,0.1068,0.1143,0.1597,0.1378,0.2567,0.176,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
30,3,0.1112,0.1174,0.1669,0.1422,0.2701,0.1825,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
30,4,0.1105,0.1193,0.1615,0.1421,0.2612,0.1812,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
31,0,0.1157,0.1232,0.1718,0.1486,0.2669,0.1862,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
31,1,0.1228,0.1294,0.1881,0.1582,0.2998,0.2019,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
31,2,0.1267,0.1348,0.1851,0.1606,0.2916,0.2027,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
31,3,0.1305,0.1372,0.1937,0.1656,0.3056,0.2094,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
31,4,0.128,0.1368,0.1868,0.1634,0.2947,0.2058,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
32,0,0.0982,0.1064,0.1454,0.1278,0.2314,0.1616,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
